ETHNICITY,ELO,WIKI
Saharawi,Sahrawi,Sahrawi_people
Mossi,Mossi,Mossi_people
Batwa,Twa,Twa
Hadza,Hadza,Hadza_people
Bassa,Bassa,Bassa_people
Bambara,Bambara,Bambara_people
bantu,Bantu-South,Bantu_peoples
Baaka,Aka,Aka_people
Bantu,Bantu central,Bantu_peoples
Pygmy,Pygmy central,African_Pygmies
Wolof,Wolof,Wolof_people
Mandinka,Mandinka,Mandinka_people
Jola,Jola,Jola_people
Fula,Fulani,Fula_people
Serere,Serere,Serer_people
Manjago,Manjak,Manjak_people
Balanta,Balanta,Balanta_people
Jarawa,Jarawa,Jarawa_language_(Nigeria)
Betsimisaraka,Betsimisaraka,Betsimisaraka_people
Tsimihety,Tsimihety,Tsimihety_people
Fijian,Fijian,Fijians
burunge,Burunge,Burunge_people
herero,Herero,Herero_people
maasai,Maasai,Maasai_people
san,San,San_people
sandawe,sandawe,Sandawe_people
Manjak,Manjak,Manjak_people
